iter	Passed	Remaining
0	141	141447
1	142	71236
2	143	47851
3	145	36141
4	146	29180
5	147	24444
6	148	21083
7	149	18590
8	150	16616
9	151	15035
10	152	13736
11	154	12691
12	155	11798
13	157	11087
14	159	10456
15	160	9863
16	161	9348
17	162	8871
18	163	8448
19	164	8063
20	165	7713
21	166	7410
22	168	7147
23	169	6885
24	170	6642
25	171	6431
26	173	6238
27	174	6065
28	175	5891
29	177	5726
30	178	5566
31	178	5414
32	179	5271
33	181	5153
34	182	5033
35	183	4923
36	184	4809
37	185	4703
38	187	4616
39	188	4534
40	190	4449
41	191	4366
42	192	4290
43	193	4209
44	194	4134
45	195	4061
46	196	3992
47	197	3924
48	198	3858
49	199	3798
50	201	3747
51	202	3695
52	203	3644
53	205	3593
54	206	3540
55	207	3490
56	207	3439
57	208	3391
58	209	3345
59	210	3303
60	211	3260
61	212	3216
62	213	3178
63	215	3147
64	216	3111
65	217	3081
66	218	3046
67	219	3011
68	220	2977
69	221	2945
70	222	2912
71	223	2881
72	224	2851
73	225	2822
74	226	2792
75	227	2762
76	228	2735
77	229	2714
78	230	2692
79	232	2671
80	233	2647
81	234	2622
82	234	2593
83	235	2569
84	236	2545
85	237	2522
86	238	2499
87	239	2478
88	240	2458
89	241	2437
90	241	2416
91	243	2399
92	244	2384
93	246	2371
94	247	2354
95	248	2337
96	249	2319
97	250	2301
98	250	2282
99	251	2265
100	252	2248
101	253	2231
102	254	2215
103	255	2199
104	256	2185
105	257	2171
106	258	2157
107	259	2143
108	261	2134
109	262	2122
110	263	2108
111	264	2094
112	265	2081
113	266	2070
114	267	2057
115	268	2044
116	269	2030
117	270	2018
118	271	2007
119	272	2001
120	274	1990
121	275	1982
122	276	1971
123	277	1960
124	278	1951
125	279	1939
126	280	1928
127	281	1917
128	282	1906
129	283	1895
130	284	1885
131	285	1877
132	287	1872
133	288	1863
134	289	1855
135	290	1845
136	291	1835
137	292	1825
138	293	1814
139	293	1805
140	294	1796
141	295	1785
142	296	1775
143	297	1767
144	298	1760
145	299	1752
146	300	1743
147	301	1735
148	303	1731
149	304	1725
150	305	1720
151	307	1715
152	308	1707
153	309	1699
154	310	1691
155	311	1683
156	312	1676
157	313	1669
158	314	1662
159	315	1656
160	316	1648
161	317	1641
162	318	1634
163	319	1627
164	320	1620
165	321	1613
166	321	1606
167	322	1599
168	323	1592
169	324	1586
170	325	1578
171	326	1572
172	327	1566
173	328	1561
174	329	1555
175	331	1549
176	331	1543
177	332	1536
178	333	1530
179	334	1523
180	335	1516
181	335	1510
182	336	1503
183	337	1497
184	338	1491
185	339	1486
186	340	1481
187	341	1476
188	343	1474
189	345	1472
190	346	1468
191	348	1465
192	349	1461
193	350	1457
194	352	1455
195	354	1454
196	357	1457
197	359	1456
198	360	1452
199	362	1449
200	364	1448
201	366	1447
202	369	1449
203	370	1444
204	371	1440
205	372	1435
206	374	1433
207	376	1433
208	377	1428
209	378	1423
210	379	1419
211	380	1414
212	381	1409
213	383	1407
214	384	1403
215	385	1398
216	386	1394
217	388	1393
218	390	1391
219	391	1389
220	393	1385
221	394	1381
222	395	1376
223	395	1371
224	396	1366
225	397	1361
226	398	1357
227	399	1352
228	400	1347
229	401	1343
230	402	1339
231	403	1336
232	404	1332
233	405	1328
234	406	1323
235	407	1318
236	408	1314
237	409	1309
238	409	1305
239	410	1301
240	411	1297
241	412	1293
242	413	1289
243	414	1285
244	415	1281
245	416	1276
246	417	1273
247	419	1270
248	420	1266
249	421	1263
250	421	1259
251	422	1255
252	423	1251
253	424	1247
254	425	1243
255	426	1239
256	427	1235
257	428	1232
258	429	1228
259	430	1224
260	431	1220
261	432	1217
262	433	1215
263	434	1212
264	435	1208
265	436	1204
266	437	1200
267	438	1197
268	439	1193
269	440	1190
270	441	1186
271	441	1182
272	442	1179
273	443	1175
274	445	1173
275	446	1170
276	447	1168
277	448	1165
278	449	1162
279	450	1159
280	451	1155
281	452	1152
282	453	1149
283	454	1146
284	455	1143
285	457	1141
286	458	1138
287	459	1135
288	460	1132
289	462	1133
290	463	1130
291	465	1127
292	465	1124
293	466	1121
294	467	1118
295	468	1115
296	469	1112
297	471	1110
298	472	1107
299	473	1104
300	474	1101
301	475	1098
302	476	1096
303	477	1093
304	479	1092
305	480	1090
306	481	1087
307	482	1084
308	483	1081
309	484	1078
310	485	1075
311	486	1072
312	487	1069
313	488	1067
314	489	1064
315	492	1066
316	494	1064
317	495	1063
318	496	1060
319	497	1057
320	498	1055
321	499	1052
322	500	1049
323	501	1047
324	502	1044
325	503	1041
326	505	1039
327	506	1037
328	507	1035
329	508	1033
330	509	1030
331	510	1027
332	512	1025
333	513	1023
334	514	1021
335	515	1018
336	516	1015
337	517	1014
338	520	1014
339	521	1012
340	522	1010
341	524	1008
342	525	1005
343	526	1003
344	527	1000
345	528	998
346	529	995
347	530	993
348	530	990
349	532	988
350	533	985
351	535	985
352	536	984
353	537	981
354	538	978
355	539	976
356	540	974
357	541	971
358	542	968
359	543	966
360	544	963
361	545	961
362	546	958
363	547	956
364	549	955
365	550	953
366	552	952
367	553	950
368	554	948
369	555	946
370	556	943
371	557	941
372	558	939
373	559	937
374	560	934
375	561	932
376	563	930
377	564	928
378	565	926
379	566	924
380	568	922
381	568	920
382	569	917
383	570	915
384	571	912
385	572	910
386	573	908
387	574	906
388	575	904
389	577	903
390	580	903
391	581	901
392	581	898
393	582	896
394	583	893
395	584	891
396	585	889
397	586	886
398	587	884
399	587	881
400	588	879
401	590	878
402	591	876
403	593	875
404	594	873
405	595	871
406	596	869
407	597	867
408	598	865
409	599	863
410	600	861
411	602	859
412	603	857
413	604	855
414	605	853
415	606	851
416	608	850
417	609	848
418	611	847
419	612	846
420	613	843
421	614	841
422	615	839
423	616	837
424	617	835
425	618	833
426	619	831
427	620	829
428	622	828
429	623	826
430	624	824
431	625	822
432	626	820
433	627	819
434	628	816
435	630	815
436	631	812
437	631	810
438	633	809
439	635	808
440	637	807
441	639	807
442	640	805
443	641	803
444	642	801
445	643	799
446	644	797
447	645	795
448	647	794
449	648	792
450	650	791
451	652	790
452	653	789
453	654	787
454	655	785
455	656	783
456	657	781
457	658	779
458	660	777
459	661	776
460	662	775
461	664	773
462	666	773
463	668	772
464	669	770
465	670	768
466	671	766
467	672	764
468	673	762
469	674	761
470	675	758
471	676	757
472	678	756
473	680	754
474	681	753
475	682	751
476	683	749
477	684	747
478	685	745
479	686	744
480	687	742
481	688	740
482	689	738
483	691	736
484	692	735
485	693	733
486	695	732
487	696	730
488	697	729
489	698	726
490	699	724
491	700	723
492	701	721
493	702	719
494	703	717
495	704	715
496	705	713
497	706	711
498	707	710
499	708	708
500	709	707
501	710	705
502	711	703
503	712	701
504	713	699
505	714	697
506	715	695
507	716	693
508	717	691
509	718	689
510	718	688
511	719	686
512	721	684
513	722	683
514	724	681
515	725	680
516	725	678
517	726	676
518	727	674
519	728	672
520	729	670
521	730	669
522	731	667
523	732	665
524	733	663
525	734	661
526	735	660
527	736	658
528	738	657
529	739	655
530	740	653
531	741	651
532	741	650
533	742	648
534	743	646
535	744	644
536	745	642
537	746	640
538	747	639
539	748	637
540	749	635
541	750	634
542	751	632
543	752	631
544	753	629
545	754	627
546	755	625
547	756	623
548	757	621
549	758	620
550	758	618
551	760	616
552	761	615
553	761	613
554	762	611
555	763	610
556	764	608
557	766	606
558	767	605
559	768	603
560	768	601
561	769	599
562	770	598
563	771	596
564	772	594
565	773	592
566	774	591
567	775	589
568	776	587
569	776	586
570	777	584
571	778	582
572	779	581
573	781	579
574	782	578
575	782	576
576	783	574
577	784	572
578	785	571
579	786	569
580	787	567
581	788	566
582	789	564
583	790	563
584	791	561
585	792	559
586	793	557
587	793	556
588	795	554
589	796	553
590	797	551
591	798	550
592	799	548
593	799	546
594	800	545
595	801	543
596	802	541
597	803	540
598	804	538
599	805	536
600	806	535
601	806	533
602	807	531
603	808	530
604	809	528
605	810	527
606	811	525
607	812	523
608	813	522
609	814	520
610	814	518
611	815	517
612	816	515
613	817	514
614	818	512
615	819	510
616	820	509
617	821	507
618	822	506
619	823	504
620	825	503
621	826	502
622	828	501
623	829	499
624	829	497
625	830	496
626	831	494
627	832	493
628	833	491
629	834	489
630	834	488
631	835	486
632	836	485
633	837	483
634	838	482
635	840	480
636	841	479
637	842	477
638	843	476
639	844	474
640	845	473
641	846	471
642	846	470
643	847	468
644	849	467
645	850	465
646	850	464
647	851	462
648	852	461
649	853	459
650	855	458
651	856	456
652	857	455
653	858	453
654	858	452
655	859	450
656	861	449
657	862	448
658	864	447
659	865	445
660	866	444
661	867	442
662	868	441
663	870	440
664	872	439
665	876	439
666	877	438
667	878	436
668	879	435
669	880	433
670	882	432
671	884	431
672	885	430
673	887	429
674	889	428
675	891	427
676	892	425
677	894	424
678	895	423
679	896	421
680	897	420
681	898	419
682	900	417
683	901	416
684	902	415
685	903	413
686	904	412
687	905	410
688	907	409
689	908	408
690	911	407
691	913	406
692	914	405
693	915	403
694	917	402
695	919	401
696	920	399
697	921	398
698	922	397
699	923	395
700	923	394
701	924	392
702	926	391
703	927	389
704	929	388
705	930	387
706	932	386
707	933	385
708	934	383
709	935	382
710	936	380
711	937	379
712	938	377
713	940	376
714	941	375
715	943	374
716	945	373
717	947	372
718	949	370
719	950	369
720	951	368
721	952	366
722	953	365
723	954	363
724	955	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	962	352
732	962	350
733	963	349
734	964	347
735	965	346
736	967	345
737	968	343
738	968	342
739	969	340
740	971	339
741	972	337
742	972	336
743	973	335
744	974	333
745	975	332
746	976	330
747	977	329
748	978	328
749	979	326
750	980	325
751	981	323
752	982	322
753	983	321
754	985	319
755	987	318
756	989	317
757	990	316
758	991	314
759	992	313
760	993	312
761	994	310
762	996	309
763	997	308
764	998	306
765	999	305
766	1000	303
767	1002	302
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1007	295
773	1009	294
774	1010	293
775	1011	291
776	1012	290
777	1013	289
778	1015	288
779	1017	287
780	1019	285
781	1020	284
782	1022	283
783	1022	281
784	1023	280
785	1024	279
786	1025	277
787	1026	276
788	1027	274
789	1028	273
790	1030	272
791	1031	271
792	1033	269
793	1034	268
794	1035	266
795	1036	265
796	1037	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1043	256
803	1045	254
804	1047	253
805	1048	252
806	1049	250
807	1049	249
808	1050	248
809	1051	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1059	237
817	1060	235
818	1061	234
819	1062	233
820	1063	231
821	1064	230
822	1065	229
823	1066	227
824	1067	226
825	1068	225
826	1069	223
827	1070	222
828	1071	220
829	1071	219
830	1073	218
831	1074	216
832	1075	215
833	1076	214
834	1077	212
835	1078	211
836	1079	210
837	1080	208
838	1081	207
839	1082	206
840	1083	204
841	1084	203
